date,carlon,carlat,elon,elat,extra1,extra2
2020-01-01,9.343997725531950,-31.008780191112800,6.312476811132510,40.12835195421770,-736.2968878431710,-482.4068434746320
2020-01-02,8.130809070536090,-31.327747436214400,161.07595656714000,38.755860877743400,-635.8049757587720,-478.9466044891720
2020-01-03,347.9888841823890,-27.41035219186090,102.59125501225100,40.12315813484750,-724.0513938942460,-422.97290373742800
2020-01-04,336.753677002043,-26.02813863528020,51.87407783509940,44.17721023346380,-716.2219040615020,-399.2433095276380
2020-01-05,315.1817562070750,22.527396251876700,15.316136378221600,39.82632648845150,-804.2858380945400,398.1672874382570
2020-01-06,297.66853374793200,25.822510860464800,9.146560638977510,24.119096209773700,-811.5053692469370,445.5911020204600
2020-01-07,291.2693549178820,25.026583095835800,5.686613678812910,16.824431094208000,-771.3037842509800,440.2598722869000
2020-01-08,286.6082754606330,26.10757318873120,5.143146937148700,19.22967885861890,-692.4532842573240,464.6903936686690
2020-01-09,281.0600397086140,26.209924365605900,7.692219883708450,21.300510236109600,-614.4117576405410,473.2311622366910
2020-01-10,258.0042152107810,29.012381565844000,12.672340294332500,39.74318506543750,-694.449054628145,507.4992323480050
2020-01-11,239.6666689419630,41.167839000048900,16.35430381678360,38.80427874541100,-633.5900744982060,668.010497191581
2020-01-12,217.8175340530580,-7.324269053519920,12.220854308459400,39.61501118453710,-899.6471993627490,-98.00531519273530
2020-01-13,210.2589214635880,-19.746221296635100,6.741621870890590,41.2190836072987,-816.4537637287290,-297.69677632869200
2020-01-14,200.263943044461,2.8405702366774200,5.422226209059370,40.098554541896000,-840.293414554093,86.30776948551940
2020-01-15,185.61935151500400,3.0541338791086100,4.997797838836790,40.72707943571700,-852.5253942271230,89.08426966199980
2020-01-16,172.8793712607680,54.01220766000320,5.2212945588142000,44.633533130787500,-498.92857853416400,810.0271373927170
2020-01-17,161.6988437492610,47.64156867082690,7.79559666566376,50.53681552638380,-560.6173180018090,747.2790243184540
2020-01-18,151.2428772476640,36.50414327269110,8.451426912261190,50.89395940080390,-648.9327012111900,615.9884725490750
2020-01-19,133.77614705476300,-35.97924811022590,11.67079308480240,50.97315953250220,-684.9538000090980,-538.370345341756
2020-01-20,119.2086928026250,-31.40518675746030,8.74918279978553,45.99564753049810,-732.3300895353310,-472.6255987466360
2020-01-21,112.39212703079200,-34.82047284207970,6.119780671168830,47.60179207625580,-657.79658010602,-515.2803283823410
2020-01-22,105.59998303528700,-37.111580909249700,6.918568160153700,45.89972426301440,-585.6135986372830,-541.1249981643490
2020-01-23,100.71450735841100,-37.61223526320170,7.378362892500210,44.320128725449100,-502.19963809172600,-540.2860281924790
2020-01-24,91.80224627436800,-52.12760662302940,10.130639858461500,40.68159829689520,-354.0430920268410,-722.9948699926820
2020-01-25,80.25489867639760,-60.343207905144700,11.209006454859500,32.5970956796734,-274.0857700004710,-807.3581680853500
2020-01-26,67.60334485180950,-60.7704004223934,9.599112730955890,31.967211041561000,-266.9210381000300,-810.3933373215460
2020-01-27,67.44766140147480,-61.19059913506700,8.900964203745040,14.631792762334300,-168.87580000818700,-808.9567176567620
2020-01-28,80.1553345105277,-60.63519490100820,10.597894881353600,10.272550556224900,40.47069650286840,-799.9516082566330
2020-01-29,93.00398847383630,-56.11416175661300,10.22602630191350,19.70465546568900,279.3022586145730,-759.8185692277000
2020-01-30,105.90131414156700,-44.29136485006290,8.444088785902400,33.15773244127380,585.4131606382930,-639.3258923550690
2020-01-31,112.39577042288400,-42.02728455495680,8.092962722182680,38.98881587252580,704.3991557836760,-631.9216629315620
2020-02-01,115.57879955332200,-41.18798008182660,8.702195556524070,42.22010589845790,731.8552615909700,-641.6781177790210
2020-02-02,116.79808439950100,-41.24092492296090,9.035523149576490,42.16520128439170,nan,nan
2020-02-03,116.51348928653300,-38.965117491684100,8.677229691705750,41.94209526340790,nan,nan
2020-02-04,114.24778075953500,-38.02547605757470,8.550226575355480,44.16517440704540,nan,nan
2020-02-05,112.25910606794300,-36.62759069341620,7.352036431498800,44.77908578524360,nan,nan
2020-02-06,107.34120901972700,-37.832385041256600,7.242064147963260,45.71944725474950,nan,nan
2020-02-07,103.66086765931100,-37.47783522054950,7.116272433668730,45.28680859640760,nan,nan
2020-02-08,98.2096539743196,-38.38891835239240,7.765612875473960,40.911404031066900,nan,nan
2020-02-09,89.3813393572984,-55.362561819561400,10.92978106005410,41.51601062041130,nan,nan
2020-02-10,67.3373921718919,-57.90809852944120,10.185388914100300,39.90523037308720,nan,nan
2020-02-11,57.525914410239800,-55.09689616412830,8.459691496076750,43.825854180365200,nan,nan
2020-02-12,47.48574308851970,-56.316999824265200,9.394273340958360,40.167826450257100,nan,nan
2020-02-13,36.57822254339130,-58.26942020651460,8.503365237562220,37.185059070623500,nan,nan
2020-02-14,19.02129192460320,-41.69608750718090,11.272944504331500,37.3339479778276,nan,nan
2020-02-15,8.284760987643060,-31.837083924252800,6.513446926119660,28.817935343873100,nan,nan
2020-02-16,5.374001134381690,-31.378444756691100,133.70763528644700,30.251100046025400,nan,nan
2020-02-17,350.58075871022100,-29.475978994933800,130.93631560008100,34.36698207353290,nan,nan
2020-02-18,344.2709206397880,-27.167015650133800,74.40691768400570,39.40721664851640,nan,nan
2020-02-19,333.680525559431,-26.246557322029900,12.698934927257500,43.59696366689590,nan,nan
2020-02-20,313.9297975281680,20.654147610844200,15.670158332678600,38.71340572102190,nan,nan
2020-02-21,297.8294912873270,24.502470597411300,10.246141072881600,25.45836417652820,nan,nan
2020-02-22,292.2901484633990,25.173200414677300,6.163993561640330,17.13486089661510,nan,nan
2020-02-23,287.889395533183,23.16646632700900,3.986837276138810,19.763865152937600,nan,nan
2020-02-24,284.89329961905300,25.245331499317600,7.0991373464811400,19.626391401387700,nan,nan
2020-02-25,268.4959279973890,25.87670912657840,12.157206920874500,37.39635576773780,nan,nan
2020-02-26,254.53624302706200,30.639213898911300,15.16728617205860,42.05290034829410,nan,nan
2020-02-27,234.054400479995,44.79622859618210,17.390594858921500,38.72390918197940,nan,nan
